GEO ID 1,GEO ID 2,CENSUS TRACT,Neighborhood (NB) label,Tract population,NB population,Tract # below poverty line,NB # below poverty line,Tract poverty %,NB poverty %,Tract # over 65,NB 65+,Tract 65+ %,NB 65+ %,Case rate May 10,Case rate May 9,Case rate May 8,Case rate May 7
1009301,11001009301,93.01,N6: BRENTWOOD,"3,450","9,765",401,"1,954",11.6,20,618,"1,299",17.9,13.3,10.7,10.5,10.4,10.4
1009302,11001009302,93.02,N6: BRENTWOOD,"1,427","9,765",241,"1,954",16.9,20,208,"1,299",14.6,13.3,10.7,10.5,10.4,10.4
1009400,11001009400,94,N51: WOODRIDGE,"4,806","8,053",344,558,7.2,6.9,856,"1,515",17.8,18.8,7.6,7.5,7.3,7.1
1009501,11001009501,95.01,N33: MICHIGAN PARK,"7,277","13,987",648,"1,192",8.9,8.5,448,"2,049",6.2,14.6,12.4,12.2,11.6,10.7
1009503,11001009503,95.03,N51: WOODRIDGE,"3,247","8,053",214,558,6.6,6.9,659,"1,515",20.3,18.8,7.6,7.5,7.3,7.1
1009504,11001009504,95.04,N33: MICHIGAN PARK,"3,464","13,987",399,"1,192",11.5,8.5,949,"2,049",27.4,14.6,12.4,12.2,11.6,10.7
1009505,11001009505,95.05,N29: LAMOND RIGGS,"3,473","11,667",287,"1,358",8.3,11.6,727,"2,238",20.9,19.2,12.5,12.2,11.4,10.9
1009507,11001009507,95.07,N29: LAMOND RIGGS,"2,005","11,667",400,"1,358",20,11.6,283,"2,238",14.1,19.2,12.5,12.2,11.4,10.9
1009508,11001009508,95.08,N29: LAMOND RIGGS,"3,584","11,667",424,"1,358",11.8,11.6,776,"2,238",21.7,19.2,12.5,12.2,11.4,10.9
1009509,11001009509,95.09,N33: MICHIGAN PARK,"3,246","13,987",145,"1,192",4.5,8.5,652,"2,049",20.1,14.6,12.4,12.2,11.6,10.7
1009601,11001009601,96.01,N17: EASTLAND GARDENS,"2,511","10,448",898,"3,477",35.8,33.3,239,977,9.5,9.4,11.4,11.3,10.9,10.5
1009602,11001009602,96.02,N17: EASTLAND GARDENS,"3,705","10,448","1,437","3,477",38.8,33.3,283,977,7.6,9.4,11.4,11.3,10.9,10.5
1009603,11001009603,96.03,N20: FORT DUPONT,"4,040","16,120",643,"4,359",15.9,27,486,"2,063",12,12.8,9.1,9.1,8.8,8.5
1009604,11001009604,96.04,N20: FORT DUPONT,"2,343","16,120",227,"4,359",9.7,27,521,"2,063",22.2,12.8,9.1,9.1,8.8,8.5
1009700,11001009700,97,N49: WASHINGTON HIGHLANDS,"3,313","5,588",876,"1,758",26.4,31.5,379,682,11.4,12.2,8.9,8.8,7.9,7.5
1009801,11001009801,98.01,N49: WASHINGTON HIGHLANDS,"2,275","5,588",882,"1,758",38.8,31.5,303,682,13.3,12.2,8.9,8.8,7.9,7.5
1009802,11001009802,98.02,N4: BELLEVUE,"2,010","17,336","1,114","5,932",55.4,34.2,144,"1,393",7.2,8,6.3,6.3,6.2,6.1
1009803,11001009803,98.03,N14: CONGRESS HEIGHTS/SHIPLEY,"3,071","9,977","1,062","3,227",34.6,32.3,382,"1,114",12.4,11.2,13.7,13.5,13.4,12.5
1009804,11001009804,98.04,N14: CONGRESS HEIGHTS/SHIPLEY,"2,993","9,977",901,"3,227",30.1,32.3,250,"1,114",8.4,11.2,13.7,13.5,13.4,12.5
1009807,11001009807,98.07,N4: BELLEVUE,"3,617","17,336",658,"5,932",18.2,34.2,476,"1,393",13.2,8,6.3,6.3,6.2,6.1
1009810,11001009810,98.1,N4: BELLEVUE,"2,898","17,336","1,062","5,932",36.6,34.2,161,"1,393",5.6,8,6.3,6.3,6.2,6.1
1009811,11001009811,98.11,N4: BELLEVUE,"4,992","17,336","1,856","5,932",37.2,34.2,379,"1,393",7.6,8,6.3,6.3,6.2,6.1
1009901,11001009901,99.01,N46: TWINING,"2,711","17,104",257,"3,545",9.5,20.7,614,"2,808",22.6,16.4,7.8,7.8,7.7,7.6
1009902,11001009902,99.02,N46: TWINING,"3,085","17,104",426,"3,545",13.8,20.7,540,"2,808",17.5,16.4,7.8,7.8,7.7,7.6
1009903,11001009903,99.03,N32: MARSHALL HEIGHTS,"2,056","17,324",318,"4,527",15.5,26.1,233,"1,709",11.3,9.9,8.6,8.5,8.1,8
1009904,11001009904,99.04,N32: MARSHALL HEIGHTS,"2,970","17,324",972,"4,527",32.7,26.1,92,"1,709",3.1,9.9,8.6,8.5,8.1,8
1009905,11001009905,99.05,N32: MARSHALL HEIGHTS,"2,926","17,324",780,"4,527",26.7,26.1,273,"1,709",9.3,9.9,8.6,8.5,8.1,8
1009906,11001009906,99.06,N32: MARSHALL HEIGHTS,"1,630","17,324",400,"4,527",24.5,26.1,167,"1,709",10.2,9.9,8.6,8.5,8.1,8
1009907,11001009907,99.07,N32: MARSHALL HEIGHTS,"2,955","17,324",714,"4,527",24.2,26.1,272,"1,709",9.2,9.9,8.6,8.5,8.1,8
1010100,11001010100,101,N12: CHINATOWN,"2,861","20,482",442,"3,814",15.4,18.6,359,"1,983",12.5,9.7,12.7,12.6,12.5,12.6
1010200,11001010200,102,N43: SW/WATERFRONT,"2,849","19,143",153,"2,630",5.4,13.7,497,"2,552",17.4,13.3,5.9,5.8,5.7,5.3
1010300,11001010300,103,N40: SHEPHERD PARK,"4,008","8,696",382,502,9.5,5.8,558,"1,520",13.9,17.5,14.1,13.1,12.8,12.4
1010400,11001010400,104,N39: SAINT ELIZABETHS,"4,829","6,705","1,185","2,499",24.5,37.3,582,764,12.1,11.4,22.5,22.1,21.6,20.6
1010500,11001010500,105,N43: SW/WATERFRONT,"3,730","19,143",903,"2,630",24.2,13.7,308,"2,552",8.3,13.3,5.9,5.8,5.7,5.3
1010600,11001010600,106,N48: UNION STATION,"7,805","16,602","1,045","1,579",13.4,9.5,233,"1,149",3,6.9,5.7,5.6,5.6,5.3
1010700,11001010700,107,N24: GWU,"1,756","14,536",308,"2,000",17.5,13.8,196,"1,439",11.2,9.9,4.3,4.3,4.2,4.2
1010800,11001010800,108,N24: GWU,"6,356","14,536",524,"2,000",8.2,13.8,54,"1,439",0.8,9.9,4.3,4.3,4.2,4.2
1010900,11001010900,109,N4: BELLEVUE,"3,819","17,336","1,242","5,932",32.5,34.2,233,"1,393",6.1,8,6.3,6.3,6.2,6.1
1011000,11001011000,110,N43: SW/WATERFRONT,"4,188","19,143",262,"2,630",6.3,13.7,"1,063","2,552",25.4,13.3,5.9,5.8,5.7,5.3
1011100,11001011100,111,N21: FORT LINCOLN/GATEWAY,"5,571","9,251",822,"1,338",14.8,14.5,"1,114","2,180",20,23.6,19.6,19.1,19.1,18.7
