Report Date,ZIP Code,Number of Cases,Number of Testing Encounters
5/11/2020,23237,64,418
5/11/2020,23238,209,550
5/11/2020,23250,0,2
5/11/2020,23294,41,303
5/11/2020,23301,47,91
5/11/2020,23302,Suppressed*,6
5/11/2020,23303,9,25
5/11/2020,23304,Suppressed*,6
5/11/2020,23306,16,45
5/11/2020,23307,9,28
5/11/2020,23308,31,73
5/11/2020,23310,16,77
5/11/2020,23313,Suppressed*,4
5/11/2020,23314,7,142
5/11/2020,23315,Suppressed*,21
5/11/2020,23316,9,32
5/11/2020,23320,120,"1,114"
5/11/2020,23321,44,552
5/11/2020,23322,63,714
5/11/2020,23323,51,524
5/11/2020,23324,30,335
5/11/2020,23325,32,277
5/11/2020,23336,5,41
5/11/2020,23337,0,7
5/11/2020,23347,8,24
5/11/2020,23350,42,125
5/11/2020,23354,8,17
5/11/2020,23356,Suppressed*,22
5/11/2020,23357,22,40
5/11/2020,23359,8,16
5/11/2020,23389,0,2
5/11/2020,23395,11,23
5/11/2020,23398,Suppressed*,7
5/11/2020,23401,Suppressed*,11
5/11/2020,23405,9,26
5/11/2020,23407,27,46
5/11/2020,23408,Suppressed*,2
5/11/2020,23409,Suppressed*,2
5/11/2020,23410,37,94
5/11/2020,23413,63,188
5/11/2020,23414,17,31
5/11/2020,23415,29,77
5/11/2020,23416,6,25
5/11/2020,23417,34,116
5/11/2020,23418,27,66
5/11/2020,23420,51,117
5/11/2020,23421,87,209
5/11/2020,23422,Suppressed*,12
5/11/2020,23423,Suppressed*,8
5/11/2020,23426,5,6
5/11/2020,23427,5,6
5/11/2020,23430,27,258
5/11/2020,23432,Suppressed*,21
5/11/2020,23433,0,28
5/11/2020,23434,114,"1,040"
5/11/2020,23435,93,525
5/11/2020,23436,0,14
5/11/2020,23437,5,68
5/11/2020,23438,Suppressed*,41
5/11/2020,23440,0,1
5/11/2020,23441,13,27
5/11/2020,23442,13,42
5/11/2020,23451,41,771
5/11/2020,23452,71,"1,154"
5/11/2020,23453,47,604
5/11/2020,23454,75,"1,074"
5/11/2020,23455,37,835
5/11/2020,23456,56,954
5/11/2020,23457,Suppressed*,57
5/11/2020,23459,Suppressed*,19
5/11/2020,23460,0,6
5/11/2020,23461,0,5
5/11/2020,23462,102,"1,204"
5/11/2020,23464,69,"1,117"
5/11/2020,23480,Suppressed*,9
5/11/2020,23486,0,3
5/11/2020,23487,58,127
5/11/2020,23488,8,17
5/11/2020,23502,40,445
5/11/2020,23503,27,477
5/11/2020,23504,49,795
5/11/2020,23505,29,408
5/11/2020,23507,7,134
5/11/2020,23508,20,228
5/11/2020,23509,26,230
5/11/2020,23510,46,391
5/11/2020,23511,0,25
5/11/2020,23513,21,446
5/11/2020,23517,5,75
5/11/2020,23518,29,567
5/11/2020,23523,6,116
5/11/2020,23551,0,1
5/11/2020,23601,20,349
5/11/2020,23602,35,585
5/11/2020,23603,Suppressed*,40
5/11/2020,23604,0,23
5/11/2020,23605,13,192
5/11/2020,23606,21,392
5/11/2020,23607,20,239
5/11/2020,23608,50,602
5/11/2020,23651,Suppressed*,7
5/11/2020,23661,14,179
5/11/2020,23662,7,164
5/11/2020,23663,10,171
5/11/2020,23664,7,124
5/11/2020,23665,Suppressed*,27
5/11/2020,23666,65,723
5/11/2020,23669,45,550
5/11/2020,23690,0,47
5/11/2020,23691,0,5
5/11/2020,23692,9,284
5/11/2020,23693,12,279
5/11/2020,23696,0,53
5/11/2020,23701,100,575
5/11/2020,23702,13,161
5/11/2020,23703,41,428
5/11/2020,23704,31,383
5/11/2020,23707,20,219
5/11/2020,23708,Suppressed*,65
5/11/2020,23709,0,59
5/11/2020,23801,10,92
5/11/2020,23803,60,584
5/11/2020,23805,22,292
5/11/2020,23821,Suppressed*,28
5/11/2020,23824,7,140
5/11/2020,23827,Suppressed*,14
5/11/2020,23828,0,4
5/11/2020,23829,78,454
5/11/2020,23830,Suppressed*,25
5/11/2020,23831,52,421
5/11/2020,23832,123,685
5/11/2020,23833,Suppressed*,23
5/11/2020,23834,87,417
5/11/2020,23836,19,175
5/11/2020,23837,44,51
5/11/2020,23838,25,213
5/11/2020,23839,0,17
5/11/2020,23840,Suppressed*,39
5/11/2020,23841,Suppressed*,49
5/11/2020,23842,6,82
5/11/2020,23843,0,2
5/11/2020,23844,Suppressed*,6
5/11/2020,23845,0,4
5/11/2020,23846,0,14
5/11/2020,23847,74,307
5/11/2020,23850,0,22
5/11/2020,23851,26,212
5/11/2020,23856,Suppressed*,5
5/11/2020,23857,Suppressed*,6
5/11/2020,23860,46,511
5/11/2020,23866,Suppressed*,36
5/11/2020,23867,17,55
5/11/2020,23868,12,60
5/11/2020,23872,Suppressed*,47
5/11/2020,23874,0,11
5/11/2020,23875,19,189
5/11/2020,23876,0,2
5/11/2020,23878,Suppressed*,17
5/11/2020,23879,5,13
5/11/2020,23881,Suppressed*,22
5/11/2020,23882,5,48
5/11/2020,23883,Suppressed*,41
5/11/2020,23884,Suppressed*,0
5/11/2020,23885,Suppressed*,37
